original_line_number,description,length
1802,напиши программу которая демонстрирует policy-based design,58
1819,создай программу которая вычисляет произведение трех чисел,58+++++++++++++++++++++++++++
1831,создай программу которая вычисляет периметр прямоугольника,58---------------------------
1841,создай программу которая вычисляет гипотенузу треугольника,58---------------------------
1862,создай программу которая использует статическую переменную,58---------------------------
1889,создай программу которая конвертирует цельсии в фаренгейты,58---------------------------
1890,напиши программу которая конвертирует фаренгейты в цельсии,58---------------------------
1907,создай программу которая проверяет коллинеарность векторов,58+++++++++++++++++++++++++++
1940,создай программу которая вычисляет детерминант матрицы 3x3,58+++++++++++++++++++++++++++
1988,напиши программу которая вычисляет рентабельность капитала,58+++++++++++++++++++++++++++
2007,напиши программу которая вычисляет мультипликатор EV/Sales,58+++++++++++++++++++++++++++
2033,напиши программу которая вычисляет объем усеченного конуса,58---------------------------
2035,напиши программу которая вычисляет объем шарового сегмента,58---------------------------
2057,создай программу которая вычисляет объем сферического слоя,58---------------------------
2091,напиши программу которая демонстрирует рекурсивную функцию,58
2113,напиши программу которая вычисляет площадь параллелограмма,58
2139,напиши программу которая вычисляет объем тора по диаметрам,58+++++++++++++++++++++++++++
2187,напиши программу которая вычисляет объем правильной призмы,58+++++++++++++++++++++++++++
2193,напиши программу которая вычисляет объем усеченного конуса,58---------------------------
2224,создай программу которая находит пересечение двух векторов,58
2229,напиши программу которая вычисляет сумму элементов вектора,58
2242,создай программу которая демонстрирует объединения (union),58
2243,напиши программу которая демонстрирует перечисления (enum),58
2254,напиши программу которая демонстрирует тип данных optional,58
2256,напиши программу которая демонстрирует выравнивание памяти,58
2273,напиши программу которая создает вектор с помощью generate,58
2309,напиши программу которая вычисляет синус через ряд Тейлора,58++++++++++++++++++++++++++++
2331,напиши класс для представления географического направления,58++++++++++++++++++++++++++++
2964,реализуй класс AVLTree для бинарного дерева поиска с балансировкой,58+++++++++++++++++++++++++
81,напиши программу которая демонстрирует trailing return type,59++++++++++++++++++++++++++++
111,напиши программу которая демонстрирует преобразование типов,59++++++++++++++++++++++++++++
432,напиши программу которая работает с массивом из 5 элементов,59++++++++++++++++++++++++++++
574,создай программу которая удаляет пробелы из вводимой строки,59++++++++++++++++++++++++++++
791,реализуй класс для простого таймера без using namespace std,59++++++++++++++++++++++++++
797,создай класс для комплексного числа без using namespace std,59++++++++++++++++++++++++++
848,напиши класс для представления веса без using namespace std,59++++++++++++++++++++++++++
851,создай класс для простого сообщения без using namespace std,59++++++++++++++++++++++++++
878,реализуй класс Sensor для простого сенсора без using namespace std,59++++++++++++++++++++++++++
911,реализуй класс для простого запроса без using namespace std,59++++++++++++++++++++++++++
1070,создай класс с перегрузкой операторов для комплексных чисел,59++++++++++++++++++++++++++++
1082,реализуй класс с перегрузкой операторов для работы с датами,59++++++++++++++++++++++++++++
1177,напиши программу которая удаляет дубликаты из вектора строк,59++++++++++++++++++++++++++++
1494,создай программу которая вычисляет расстояние между точками,59
1552,напиши программу которая демонстрирует работу с итераторами,59
1592,реализуй шаблонный класс expected для безопасного возврата значений или ошибок с примером использования,59+++++++++++++++++++++++++++
1598,напиши программу с barrier для синхронизации группы потоков,59++++++++++++++++++++++++++++
1600,создай программу которая вычисляет возраст по дате рождения,59++++++++++++++++++++++++++++
1610,напиши программу которая вычисляет биномиальный коэффициент,59
1635,напиши программу которая вычисляет определитель матрицы 4x4,59++++++++++++++++++++++++++++
1680,создай программу которая вычисляет мультипликатор EV/EBITDA,59
1692,создай программу которая вычисляет доходность при погашении,59
1698,напиши программу которая вычисляет площадь поверхности куба,59++++++++++++++++++++++++++++
1714,напиши программу которая вычисляет площадь поверхности тора,59----------------------------
1725,создай программу которая вычисляет объем усеченной пирамиды,59++++++++++++++++++++++++++++
1739,создай программу которая вычисляет объем сферического клина,59----------------------------
1752,напиши программу которая демонстрирует основные типы данных,59----------------------------
1753,создай программу которая показывает арифметические операции,59
1756,напиши программу которая демонстрирует условный оператор if,59
1791,напиши программу которая реализует алгоритм сжатия Хаффмана,59
1801,создай программу которая реализует алгоритм Флойда-Уоршелла,59
1803,создай программу которая реализует алгоритм поиска в ширину,59
1804,напиши программу которая демонстрирует expression templates,59
1805,напиши программу которая демонстрирует работу с std::chrono,59
1866,напиши программу которая демонстрирует преобразование типов,59
1870,напиши программу которая демонстрирует trailing return type,59
1885,создай программу которая вычисляет расстояние между точками,59
1908,напиши программу которая вычисляет определитель матрицы 2x2,59
1928,создай программу которая вычисляет возраст по дате рождения,59----------------------------
1938,напиши программу которая вычисляет биномиальный коэффициент,59
1963,создай программу которая вычисляет определитель матрицы 4x4,59++++++++++++++++++++++++++++
2008,создай программу которая вычисляет мультипликатор EV/EBITDA,59
2020,создай программу которая вычисляет доходность при погашении,59
2026,создай программу которая вычисляет площадь поверхности куба,59----------------------------
2042,создай программу которая вычисляет площадь поверхности тора,59++++++++++++++++++++++++++++
2053,создай программу которая вычисляет объем усеченной пирамиды,59----------------------------
2067,создай программу которая вычисляет объем сферического клина,59----------------------------
2080,напиши программу которая демонстрирует основные типы данных,59----------------------------
2081,создай программу которая показывает арифметические операции,59
2084,напиши программу которая демонстрирует условный оператор if,59
2114,создай программу которая вычисляет периметр параллелограмма,59
2129,напиши программу которая вычисляет объем тетраэдра по ребру,59++++++++++++++++++++++++++++
2212,создай программу которая вычисляет площадь поверхности тора,59----------------------------
2237,напиши программу которая складывает два вектора поэлементно,59
2298,напиши программу которая вычисляет биномиальный коэффициент,59
2300,напиши программу которая вычисляет определитель матрицы 2x2,59
2764,создай класс для представления студента с базовыми методами,59
2865,напиши класс с перегрузкой операторов для работы с потоками,59++++++++++++++++++++++++++++
39,напиши программу которая находит ASCII код вводимого символа,60++++++++++++++++++++++++++++
255,напиши программу которая проверяет является ли число простым,60++++++++++++++++++++++++++++
363,напиши функцию compareStrings которая сортирует массив строк,60++++++++++++++++++++++++++++
390,напиши функцию base64Encode которая кодирует строку в Base64,60++++++++++++++++++++++++++++
447,создай программу которая заполняет массив случайными числами,60++++++++++++++++++++++++++++
565,напиши программу которая проверяет пустая ли вводимая строка,60++++++++++++++++++++++++++++
662,реализуй класс для стека целых чисел без using namespace std,60++++++++++++++++++++++++++
800,напиши класс для рационального числа без using namespace std,60++++++++++++++++++++++++++
872,реализуй класс для единицы измерения без using namespace std,60++++++++++++++++++++++++++
884,реализуй класс для хранения настроек без using namespace std,60++++++++++++++++++++++++++
1061,создай класс с перегрузкой оператора -> для умного указателя,60++++++++++++++++++++++++++++
1076,напиши класс с перегрузкой операторов для строковых операций,60++++++++++++++++++++++++++++
1189,напиши программу которая разбивает строку на вектор подстрок,60++++++++++++++++++++++++++++
1255,реализуй класс с вариативными шаблонами (variadic templates),60++++++++++++++++++++++++++++
1296,создай программу которая записывает и читает бинарные данные,60
1509,напиши программу которая вычисляет площадь кругового сектора,60++++++++++++++++++++++++++++
1511,напиши программу которая вычисляет площадь поверхности сферы,60++++++++++++++++++++++++++++
1525,напиши программу которая вычисляет модуль комплексного числа,60++++++++++++++++++++++++++++
1545,напиши программу с перегрузкой операторов для класса Complex,60
1548,напиши программу с обработкой исключений при делении на ноль,60++++++++++++++++++++++++++++
1616,создай программу которая вычисляет интеграл методом трапеций,60++++++++++++++++++++++++++++
1695,напиши программу которая вычисляет дифференцированный платеж,60++++++++++++++++++++++++++++
1780,напиши программу которая реализует алгоритм бинарного поиска,60++++++++++++++++++++++++++++
1830,напиши программу которая выводит следующий символ в алфавите,60
1852,напиши программу которая проверяет является ли символ цифрой,60
1900,напиши программу которая вычисляет площадь кругового сектора,60----------------------------
1902,напиши программу которая вычисляет площадь поверхности сферы,60++++++++++++++++++++++++++++
1916,напиши программу которая вычисляет модуль комплексного числа,60----------------------------
1944,создай программу которая вычисляет интеграл методом трапеций,60----------------------------
2023,напиши программу которая вычисляет дифференцированный платеж,60++++++++++++++++++++++++++++
2112,создай программу которая вычисляет периметр ромба по стороне,60++++++++++++++++++++++++++++
2175,напиши программу которая вычисляет диагональ куба по стороне,60++++++++++++++++++++++++++++
2176,создай программу которая вычисляет сторону куба по диагонали,60++++++++++++++++++++++++++++
2205,напиши программу которая вычисляет объем эллипсоида вращения,60++++++++++++++++++++++++++++
2257,создай программу которая демонстрирует union с конструктором,60++++++++++++++++++++++++++++
2259,создай программу которая подсчитывает частоту слов в векторе,60++++++++++++++++++++++++++++
2280,создай программу которая проверяет является ли число простым,60
2310,создай программу которая вычисляет косинус через ряд Тейлора,60++++++++++++++++++++++++++++
2313,напиши программу которая вычисляет интеграл методом трапеций,60----------------------------
2825,реализуй класс с CRTP (Curiously Recurring Template Pattern),60
54,напиши программу которая генерирует случайное число от 0 до 1,61++++++++++++++++++++++++++++
57,напиши программу которая генерирует случайное число от 1 до 6,61++++++++++++++++++++++++++++
138,создай программу которая округляет число до ближайшего целого,61++++++++++++++++++++++++++++
141,создай программу для сложения двух целых вводимых целых чисел,61++++++++++++++++++++++++++++
333,создай функцию reverseString которая реверс строки рекурсивно,61++++++++++++++++++++++++++++
339,напиши фунуцию removeSpaces которая удаляет пробелы из строки,61++++++++++++++++++++++++++++
372,напиши функцию selectionSort которая сортирует массив выбором,61++++++++++++++++++++++++++++
408,напиши функцию quickSort которая реализует быструю сортировку,61++++++++++++++++++++++++++++
494,напиши программу которая демонстрирует указатели на указатели,61++++++++++++++++++++++++++++
637,напиши программу которая демонстрирует указатели на структуры,61++++++++++++++++++++++++++++
809,реализуй класс Logger с статическим методом для вывода сообщений в консоль без using namespace std,61.++++++++++++++++
812,реализуй класс для телефонного номера без using namespace std,61++++++++++++++++++++++++++
890,создай класс для простого уведомления без using namespace std,61++++++++++++++++++++++++++
1005,создай класс для представления валюты без using namespace std,61++++++++++++++++++++++++++
1043,напиши класс с перегруженными операторами преобразования типа,61++++++++++++++++++++++++++++
1088,создай класс с перегрузкой операторов для работы с полиномами,61++++++++++++++++++++++++++++
1126,создай программу которая удаляет последний элемент из вектора,61++++++++++++++++++++++++++++
1135,напиши программу которая создает вектор строк и сортирует его,61++++++++++++++++++++++++++++
1287,создай программу которая добавляет данные в существующий файл,61
1553,напиши программу с использованием умного указателя unique_ptr,61
1581,создай программу с strategy pattern для алгоритмов сортировки,61++++++++++++++++++++++++++++
1601,напиши функцию toRoman которая конвертирует число в римскую систему,61++++++++++++++++++++++++++
1604,создай программу которая вычисляет числа Фибоначчи рекурсивно,61
1627,создай программу которая вычисляет числа Фибоначчи итеративно,61
1693,напиши программу которая вычисляет эффективную годовую ставку,61
1722,напиши программу которая вычисляет площадь поверхности призмы,61---------------------------
1728,напиши программу которая вычисляет площадь сферического пояса,61
1747,создай программу которая вычисляет объем усеченного икосаэдра,61+++++++++++++++++++++++++++
1785,создай программу которая демонстрирует работу с std::optional,61
1807,напиши программу которая демонстрирует std::expected из C++23,61
1848,создай программу которая генерирует случайное число от 1 до 6,61
1929,напиши программу которая конвертирует число в римскую систему,61+++++++++++++++++++++++++++
1932,создай программу которая вычисляет числа Фибоначчи рекурсивно,61
1955,напиши программу которая вычисляет числа Фибоначчи итеративно,61
2021,напиши программу которая вычисляет эффективную годовую ставку,61
2050,напиши программу которая вычисляет площадь поверхности призмы,61+++++++++++++++++++++++++++
2056,напиши программу которая вычисляет площадь сферического пояса,61
2075,создай программу которая вычисляет объем усеченного икосаэдра,61---------------------------
2141,напиши программу которая вычисляет объем сферического сектора,61
2207,напиши программу которая вычисляет объем параболоида вращения,61
2222,создай программу которая проверяет содержит ли вектор элемент,61
2295,создай программу которая вычисляет числа Фибоначчи итеративно,61
14,напиши программу которая выводит приветствие с вводимым именем,62++++++++++++++++++++++++++++
147,создай программу которая вычисляет частное двух вводимых чисел,62++++++++++++++++++++++++++++
156,создай программу которая вычисляет корни квадратного уравнения,62++++++++++++++++++++++++++++
246,напиши программу которая проверяет равны ли два вводимых числа,62++++++++++++++++++++++++++++
318,напиши программу которая выводит таблицу умножения для числа 5,62++++++++++++++++++++++++++++
631,создай программу которая демонстрирует базовую структуру Point,62++++++++++++++++++++++++++++
815,напиши класс для представления размера без using namespace std,62++++++++++++++++++++++++++
1064,реализуй класс с перегрузкой операторов для матричных операций,62++++++++++++++++++++++++++++
1073,реализуй класс с перегрузкой операторов для работы со временем,62++++++++++++++++++++++++++++
1079,создай класс с перегрузкой операторов для работы с множествами,62++++++++++++++++++++++++++++
1180,создай программу которая находит самое длинное слово в векторе,62++++++++++++++++++++++++++++
1186,создай программу которая объединяет вектор строк в одну строку,62++++++++++++++++++++++++++++
1202,напиши класс с перегрузкой операторов для работы с итераторами,62++++++++++++++++++++++++++++
1323,создай программу которая использует atomic для многопоточности,62
1526,создай программу которая вычисляет аргумент комплексного числа,62
1572,напиши программу с CRTP (Curiously Recurring Template Pattern),62
1574,напиши программу с expression templates для ленивых вычислений,62
1650,создай программу которая вычисляет сложные проценты ежемесячно,62
1654,создай программу которая вычисляет внутреннюю норму доходности,62+++++++++++++++++++++++++++
1784,напиши программу которая реализует алгоритм быстрой сортировки,62
1917,создай программу которая вычисляет аргумент комплексного числа,62
1978,напиши программу которая вычисляет сложные проценты ежемесячно,62
1982,напиши программу которая вычисляет внутреннюю норму доходности,62---------------------------
2111,напиши программу которая вычисляет площадь ромба по диагоналям,62+++++++++++++++++++++++++++
2117,напиши программу которая вычисляет площадь поверхности кубоида,62
2123,напиши программу которая вычисляет объем сферического сегмента по радиусу и высоте,62+++++++++++++++++++++++
2153,напиши программу которая вычисляет объем трехосного эллипсоида,62
2160,создай программу которая вычисляет площадь поверхности коноида,62
2177,напиши программу которая вычисляет радиус вписанной сферы куба,62
2178,создай программу которая вычисляет радиус описанной сферы куба,62
2181,напиши программу которая вычисляет апофему правильной пирамиды,62
2190,создай программу которая вычисляет диагональ правильной призмы,62
2209,напиши программу которая вычисляет объем гиперболоида вращения,62
2214,создай программу которая удаляет элемент из вектора по индексу,62
2216,создай программу которая находит минимальный элемент в векторе,62
2970,реализуй класс для системы кэширования запросов с инвалидацией,62++++++++++++++++++++++++++++
45,создай программу которая генерирует случайное число от 1 до 100,63++++++++++++++++++++++++++++
174,напиши программу которая вычисляет разность двух вводимых чисел,63++++++++++++++++++++++++++++
198,создай программу которая конвертирует вводимые километры в мили,63++++++++++++++++++++++++++++
249,создай программу которая находит большее из двух вводимых чисел,63++++++++++++++++++++++++++++
360,напиши функцию findSubstring которая находит подстроку в строке,63++++++++++++++++++++++++++++
366,создай функцию insertionSort которая сортирует массив вставками,63++++++++++++++++++++++++++++
622,напиши программу которая подсчитывает гласные в вводимой строке,63++++++++++++++++++++++++++++
655,создай программу которая демонстрирует битовые поля в структуре,63++++++++++++++++++++++++++++
740,создай класс для хранения пары значений без using namespace std,63++++++++++++++++++++++++++
830,реализуй класс User для управления учетными записями с методами аутентификации и изменения состояния без using namespace std,63++++++++++++++++++++++++++
839,реализуй класс для декартовых координат без using namespace std,63++++++++++++++++++++++++++
842,напиши класс для представления скорости без using namespace std,63++++++++++++++++++++++++++
854,реализуй класс для географической точки без using namespace std,63++++++++++++++++++++++++++
866,напиши класс Rating для представления рейтинга без using namespace std,63++++++++++++++++++++++++++
896,напиши класс для хранения диапазона дат без using namespace std,63++++++++++++++++++++++++++
899,создай класс для простого переключателя без using namespace std,63++++++++++++++++++++++++++
920,реализуй класс ThemeColor для настройки цвета темы без using namespace std,63++++++++++++++++++++++++++
983,создай класс с чисто виртуальными функциями (абстрактный класс),63++++++++++++++++++++++++++
1139,напиши программу которая очищает вектор без using namespace std,63++++++++++++++++++++++++++
1246,создай программу которая реализует стек с использованием vector,63--------------------------
1410,создай программу с RAII классом для безопасной работы с файлами,63++++++++++++++++++++++++++
1597,создай программу с counting_semaphore для синхронизации потоков,63++++++++++++++++++++++++++
1619,напиши программу которая вычисляет число Pi методом Монте-Карло,63++++++++++++++++++++++++++
1628,напиши программу которая проверяет число на простоту итеративно,63--------------------------
1652,создай программу которая вычисляет будущую стоимость инвестиций,63--------------------------
1699,создай программу которая вычисляет площадь поверхности цилиндра,63++++++++++++++++++++++++++
1724,напиши программу которая вычисляет площадь поверхности пирамиды,63--------------------------
1792,создай программу которая демонстрирует работу с std::filesystem,63--------------------------
1796,создай программу которая реализует алгоритм сортировки слиянием,63++++++++++++++++++++++++++
1947,напиши программу которая вычисляет число Pi методом Монте-Карло,63++++++++++++++++++++++++++
1956,создай программу которая проверяет число на простоту итеративно,63++++++++++++++++++++++++++
1980,напиши программу которая вычисляет будущую стоимость инвестиций,63++++++++++++++++++++++++++
2027,напиши программу которая вычисляет площадь поверхности цилиндра,63--------------------------
2052,напиши программу которая вычисляет площадь поверхности пирамиды,63++++++++++++++++++++++++++
2152,создай программу которая вычисляет площадь поверхности сфероида,63++++++++++++++++++++++++++
2194,создай программу которая вычисляет образующую усеченного конуса,63++++++++++++++++++++++++++
2215,напиши программу которая находит максимальный элемент в векторе,63++++++++++++++++++++++++++
2240,напиши программу которая демонстрирует основные типы данных C++,63++++++++++++++++++++++++++
2258,создай программу которая демонстрирует указатели на разные типы,63++++++++++++++++++++++++++
2269,напиши программу которая находит общие элементы в двух векторах,63++++++++++++++++++++++++++
2270,создай программу которая объединяет два отсортированных вектора,63++++++++++++++++++++++++++++
2271,напиши программу которая удаляет элементы из вектора по условию,63++++++++++++++++++++++++++++
2288,напиши программу которая генерирует случайное число в диапазоне,63++++++++++++++++++++++++++++
2307,напиши функцию estimatePi которая вычисляет число Пи методом Монте-Карло,63+++++++++++++++++++++++++
2308,создай программу которая вычисляет экспоненту через ряд Тейлора,63++++++++++++++++++++++++++++
438,напиши программу которая копирует вводимый массив с помощью copy,64++++++++++++++++++++++++++++
521,создай программу которая демонстрирует возврат ссылки из функции,64++++++++++++++++++++++++++++
703,создай программу которая реализует стек с использованием массива,64++++++++++++++++++++++++++++
749,создай класс Color для представления цвета RGB без using namespace std,64++++++++++++++++++++++
836,создай класс для простого булевого флага без using namespace std,64++++++++++++++++++++++++++
857,напиши класс для представления процентов без using namespace std,64++++++++++++++++++++++++++
1008,создай класс для простого идентификатора без using namespace std,64++++++++++++++++++++++++++
1535,создай программу которая форматирует число с разделителями тысяч,64++++++++++++++++++++++++++
1582,напиши программу с adapter pattern для совместимости интерфейсов,64++++++++++++++++++++++++++
1589,напиши программу с optional для обработки отсутствующих значений,64++++++++++++++++++++++++++
1595,создай программу с bit_cast для безопасного преобразования типов,64++++++++++++++++++++++++++
1651,напиши программу которая вычисляет ежемесячный платеж по кредиту,64++++++++++++++++++++++++++
1661,напиши программу которая вычисляет коэффициент долговой нагрузки,64--------------------------
1706,напиши программу которая вычисляет площадь сферического сегмента,64++++++++++++++++++++++++++
1727,создай программу которая вычисляет объем цилиндрического сектора,64++++++++++++++++++++++++++
1732,напиши программу которая вычисляет площадь поверхности зоны шара,64++++++++++++++++++++++++++
1733,создай программу которая вычисляет объем эллиптического цилиндра,64++++++++++++++++++++++++++
1736,напиши программу которая вычисляет площадь поверхности катеноида,64++++++++++++++++++++++++++
1742,напиши программу которая вычисляет площадь поверхности гептаэдра,64++++++++++++++++++++++++++
1808,создай программу которая реализует алгоритм сортировки подсчетом,64++++++++++++++++++++++++++
1815,напиши программу которая демонстрирует пользовательские литералы,64++++++++++++++++++++++++++
1839,создай программу которая вычисляет сумму цифр двухзначного числа,64--------------------------
1842,напиши программу которая проверяет является ли число палиндромом,64++++++++++++++++++++++++++
1926,создай программу которая форматирует число с разделителями тысяч,64--------------------------
1979,создай программу которая вычисляет ежемесячный платеж по кредиту,64--------------------------
1989,создай программу которая вычисляет коэффициент долговой нагрузки,64++++++++++++++++++++++++++
2034,создай программу которая вычисляет площадь сферического сегмента,64--------------------------
2055,создай программу которая вычисляет объем цилиндрического сектора,64--------------------------
2060,напиши программу которая вычисляет площадь поверхности зоны шара,64--------------------------
2061,создай программу которая вычисляет объем эллиптического цилиндра,64--------------------------
2064,напиши программу которая вычисляет площадь поверхности катеноида,64--------------------------
2070,напиши программу которая вычисляет площадь поверхности гептаэдра,64--------------------------
2124,создай программу которая вычисляет площадь сферического сегмента,64--------------------------
2130,создай программу которая вычисляет площадь поверхности тетраэдра,64++++++++++++++++++++++++++
2278,создай программу которая заполняет вектор определенным значением,64++++++++++++++++++++++++++
2284,напиши программу которая проверяет является ли число палиндромом,64++++++++++++++++++++++++++
243,напиши программу которая проверяет делится ли вводимое число на 5,65++++++++++++++++++++++++++++
512,создай программу которая демонстрирует базовую работу со ссылками,65++++++++++++++++++++++++++++
652,создай программу которая демонстрирует структуру Point с методами,65++++++++++++++++++++++++++++
680,создай программу которая использует union без using namespace std,65++++++++++++++++++++++++++
716,создай класс с вложенным (nested) классом без using namespace std,65++++++++++++++++++++++++++
827,создай класс для геометрического квадрата без using namespace std,65++++++++++++++++++++++++++
926,создай класс для хранения оценок студента без using namespace std,65++++++++++++++++++++++++++
1011,создай класс для математической константы без using namespace std,65++++++++++++++++++++++++++
1416,создай программу которая использует expected для обработки ошибок,65
1505,напиши программу которая вычисляет гипотенузу по теореме Пифагора,65
1506,создай программу которая проверяет треугольник на прямоугольность,65
1540,напиши программу которая вычисляет расстояние между двумя точками,65
1567,напиши программу с conditional_variable для синхронизации потоков,65++++++++++++++++++++++++++
1730,напиши программу которая вычисляет площадь конической поверхности,65
1744,напиши программу которая вычисляет площадь поверхности антипризмы,65
1812,создай программу которая реализует алгоритм поиска мостов в графе,65
1896,напиши программу которая вычисляет гипотенузу по теореме Пифагора,65
1897,создай программу которая проверяет треугольник на прямоугольность,65
2058,напиши программу которая вычисляет площадь конической поверхности,65
2072,напиши программу которая вычисляет площадь поверхности антипризмы,65
2157,напиши программу которая вычисляет объем параболического цилиндра,65
2230,создай программу которая вычисляет произведение элементов вектора,65
2262,напиши программу которая вычисляет среднее значение вектора чисел,65
2297,создай программу которая вычисляет расстояние между двумя точками,65
67,создай программу которая использует макрос без using namespace std,66++++++++++++++++++++++++++
94,напиши программу которая создает константу без using namespace std,66++++++++++++++++++++++++++
195,напиши программу которая вычисляет НДС 20% от вводимой суммы денег,66++++++++++++++++++++++++++++
330,создай функцию square которая вычисляет и возвращает квадрат числа,66++++++++++++++++++++++++++++
399,напиши функцию isPrime которая проверяет является ли число простым,66++++++++++++++++++++++++++++
479,напиши программу которая демонстрирует массив указателей на строки,66++++++++++++++++++++++++++++
743,реализуй класс для точки в 3D пространстве без using namespace std,66++++++++++++++++++++++++++
